date,approve
22-Jan-17,45
23-Jan-17,45
24-Jan-17,46
25-Jan-17,46
26-Jan-17,45
27-Jan-17,42
28-Jan-17,42
29-Jan-17,43
30-Jan-17,43
31-Jan-17,43
1-Feb-17,43
2-Feb-17,43
3-Feb-17,44
4-Feb-17,42
5-Feb-17,42
6-Feb-17,42
7-Feb-17,43
8-Feb-17,43
9-Feb-17,42
10-Feb-17,41
11-Feb-17,40
12-Feb-17,40
13-Feb-17,40
14-Feb-17,40
15-Feb-17,40
16-Feb-17,38
17-Feb-17,40
18-Feb-17,41
19-Feb-17,42
20-Feb-17,41
21-Feb-17,42
22-Feb-17,43
23-Feb-17,43
24-Feb-17,41
25-Feb-17,41
26-Feb-17,42
27-Feb-17,42
28-Feb-17,43
1-Mar-17,43
2-Mar-17,43
3-Mar-17,43
4-Mar-17,43
5-Mar-17,44
6-Mar-17,43
7-Mar-17,42
8-Mar-17,41
9-Mar-17,42
10-Mar-17,44
11-Mar-17,45
12-Mar-17,42
13-Mar-17,39
14-Mar-17,40
15-Mar-17,42
16-Mar-17,41
17-Mar-17,40
18-Mar-17,37
19-Mar-17,39
20-Mar-17,39
21-Mar-17,40
22-Mar-17,39
23-Mar-17,41
24-Mar-17,41
25-Mar-17,40
26-Mar-17,36
27-Mar-17,36
28-Mar-17,35
29-Mar-17,38
30-Mar-17,38
31-Mar-17,40
1-Apr-17,38
2-Apr-17,38
3-Apr-17,39
4-Apr-17,42
5-Apr-17,41
6-Apr-17,40
7-Apr-17,40
8-Apr-17,40
9-Apr-17,40
10-Apr-17,40
11-Apr-17,41
12-Apr-17,40
13-Apr-17,40
14-Apr-17,39
15-Apr-17,41
17-Apr-17,41
18-Apr-17,42
19-Apr-17,43
20-Apr-17,43
21-Apr-17,42
22-Apr-17,40
23-Apr-17,40
24-Apr-17,40
25-Apr-17,39
26-Apr-17,40
27-Apr-17,43
28-Apr-17,43
29-Apr-17,42
30-Apr-17,41
1-May-17,42
2-May-17,42
4-May-17,42
5-May-17,40
5-May-17,40
6-May-17,40
7-May-17,42
8-May-17,40
9-May-17,40
10-May-17,38
11-May-17,41
12-May-17,40
13-May-17,39
14-May-17,38
15-May-17,38
16-May-17,38
17-May-17,38
18-May-17,38
19-May-17,37
20-May-17,38
21-May-17,37
22-May-17,38
23-May-17,39
24-May-17,39
25-May-17,41
26-May-17,41
27-May-17,42
28-May-17,42
29-May-17,41
30-May-17,41
31-May-17,40
1-Jun-17,39
2-Jun-17,37
3-Jun-17,36
4-Jun-17,37
5-Jun-17,38
6-Jun-17,38
7-Jun-17,37
8-Jun-17,37
9-Jun-17,39
10-Jun-17,38
11-Jun-17,36
12-Jun-17,36
13-Jun-17,36
14-Jun-17,38
15-Jun-17,38
16-Jun-17,39
17-Jun-17,39
18-Jun-17,38
19-Jun-17,37
20-Jun-17,37
21-Jun-17,39
22-Jun-17,42
23-Jun-17,39
24-Jun-17,38
25-Jun-17,36
26-Jun-17,39
27-Jun-17,39
28-Jun-17,40
29-Jun-17,38
30-Jun-17,38
1-Jul-17,37
2-Jul-17,39
3-Jul-17,37
5-Jul-17,37
6-Jul-17,37
7-Jul-17,38
8-Jul-17,39
9-Jul-17,39
10-Jul-17,40
11-Jul-17,40
13-Jul-17,39
14-Jul-17,38
15-Jul-17,38
16-Jul-17,39
17-Jul-17,38
18-Jul-17,37
19-Jul-17,36
20-Jul-17,37
21-Jul-17,38
22-Jul-17,39
23-Jul-17,37
24-Jul-17,36
25-Jul-17,37
26-Jul-17,39
27-Jul-17,39
28-Jul-17,39
29-Jul-17,38
30-Jul-17,37
31-Jul-17,37
1-Aug-17,36
2-Aug-17,36
3-Aug-17,36
4-Aug-17,37
5-Aug-17,38
6-Aug-17,38
7-Aug-17,37
8-Aug-17,36
9-Aug-17,36
10-Aug-17,37
11-Aug-17,37
12-Aug-17,36
13-Aug-17,34
14-Aug-17,36
15-Aug-17,36
16-Aug-17,37
17-Aug-17,38
18-Aug-17,37
19-Aug-17,36
20-Aug-17,35
21-Aug-17,35
22-Aug-17,35
23-Aug-17,34
24-Aug-17,34
25-Aug-17,35
26-Aug-17,35
27-Aug-17,35
28-Aug-17,35
29-Aug-17,35
30-Aug-17,34
31-Aug-17,34
1-Sep-17,34
2-Sep-17,36
3-Sep-17,38
4-Sep-17,37
5-Sep-17,37
6-Sep-17,36
7-Sep-17,36
8-Sep-17,38
9-Sep-17,38
10-Sep-17,38
11-Sep-17,37
12-Sep-17,37
13-Sep-17,37
14-Sep-17,37
15-Sep-17,36
16-Sep-17,38
17-Sep-17,38
18-Sep-17,38
19-Sep-17,39
20-Sep-17,37
21-Sep-17,38
22-Sep-17,37
23-Sep-17,40
24-Sep-17,39
25-Sep-17,39
26-Sep-17,37
27-Sep-17,36
28-Sep-17,37
29-Sep-17,37
30-Sep-17,38
1-Oct-17,37
2-Oct-17,38
3-Oct-17,39
4-Oct-17,39
5-Oct-17,39
6-Oct-17,39
7-Oct-17,38
8-Oct-17,37
9-Oct-17,36
10-Oct-17,37
11-Oct-17,37
12-Oct-17,39
13-Oct-17,38
14-Oct-17,38
15-Oct-17,36
16-Oct-17,37
17-Oct-17,36
18-Oct-17,36
19-Oct-17,35
20-Oct-17,36
21-Oct-17,36
22-Oct-17,36
23-Oct-17,36
24-Oct-17,36
25-Oct-17,37
26-Oct-17,36
27-Oct-17,36
28-Oct-17,35
29-Oct-17,33
30-Oct-17,34
31-Oct-17,35
1-Nov-17,38
2-Nov-17,39
3-Nov-17,39
4-Nov-17,37
5-Nov-17,37
6-Nov-17,37
7-Nov-17,38
8-Nov-17,37
9-Nov-17,37
10-Nov-17,38
11-Nov-17,39
12-Nov-17,38
13-Nov-17,38
14-Nov-17,37
15-Nov-17,37
16-Nov-17,37
17-Nov-17,39
18-Nov-17,38
19-Nov-17,38
20-Nov-17,36
21-Nov-17,38
22-Nov-17,38
24-Nov-17,38
25-Nov-17,37
26-Nov-17,37
27-Nov-17,37
28-Nov-17,38
29-Nov-17,36
30-Nov-17,34
1-Dec-17,33
2-Dec-17,34
3-Dec-17,35
4-Dec-17,35
5-Dec-17,36
6-Dec-17,37
7-Dec-17,38
8-Dec-17,37
9-Dec-17,36
10-Dec-17,35
11-Dec-17,35
12-Dec-17,36
13-Dec-17,36
